unit_id,treatment,exposed,exposure_count,converted,data_source,scenario
SYN-000001,control,1,1,0,synthetic,near_null_effect
SYN-000002,control,1,1,0,synthetic,near_null_effect
SYN-000003,control,1,1,0,synthetic,near_null_effect
SYN-000004,treatment,1,1,0,synthetic,near_null_effect
SYN-000005,treatment,1,1,0,synthetic,near_null_effect
SYN-000006,control,1,1,0,synthetic,near_null_effect
SYN-000007,treatment,1,1,0,synthetic,near_null_effect
SYN-000008,treatment,1,1,0,synthetic,near_null_effect
SYN-000009,control,1,1,1,synthetic,near_null_effect
SYN-000010,control,1,1,0,synthetic,near_null_effect
SYN-000011,treatment,1,1,0,synthetic,near_null_effect
SYN-000012,treatment,1,1,0,synthetic,near_null_effect
SYN-000013,treatment,1,1,0,synthetic,near_null_effect
SYN-000014,treatment,1,1,0,synthetic,near_null_effect
SYN-000015,treatment,1,1,0,synthetic,near_null_effect
SYN-000016,control,1,1,0,synthetic,near_null_effect
SYN-000017,treatment,1,1,0,synthetic,near_null_effect
SYN-000018,control,1,1,0,synthetic,near_null_effect
SYN-000019,treatment,1,1,0,synthetic,near_null_effect
SYN-000020,treatment,1,1,1,synthetic,near_null_effect
SYN-000021,treatment,1,1,0,synthetic,near_null_effect
SYN-000022,control,1,1,0,synthetic,near_null_effect
SYN-000023,control,1,1,0,synthetic,near_null_effect
SYN-000024,control,1,1,0,synthetic,near_null_effect
SYN-000025,treatment,1,1,0,synthetic,near_null_effect
SYN-000026,treatment,1,1,0,synthetic,near_null_effect
SYN-000027,treatment,1,1,0,synthetic,near_null_effect
SYN-000028,control,1,1,0,synthetic,near_null_effect
SYN-000029,treatment,1,1,0,synthetic,near_null_effect
SYN-000030,treatment,1,1,0,synthetic,near_null_effect
SYN-000031,control,1,1,0,synthetic,near_null_effect
SYN-000032,treatment,1,1,0,synthetic,near_null_effect
SYN-000033,control,1,1,1,synthetic,near_null_effect
SYN-000034,treatment,1,1,0,synthetic,near_null_effect
SYN-000035,treatment,1,1,0,synthetic,near_null_effect
SYN-000036,control,1,1,0,synthetic,near_null_effect
SYN-000037,treatment,1,1,0,synthetic,near_null_effect
SYN-000038,control,1,1,1,synthetic,near_null_effect
SYN-000039,treatment,1,1,0,synthetic,near_null_effect
SYN-000040,treatment,1,1,0,synthetic,near_null_effect
SYN-000041,treatment,1,1,0,synthetic,near_null_effect
SYN-000042,treatment,1,1,0,synthetic,near_null_effect
SYN-000043,treatment,1,1,0,synthetic,near_null_effect
SYN-000044,treatment,1,1,0,synthetic,near_null_effect
SYN-000045,treatment,1,1,0,synthetic,near_null_effect
SYN-000046,treatment,1,1,1,synthetic,near_null_effect
SYN-000047,control,1,1,0,synthetic,near_null_effect
SYN-000048,treatment,1,1,0,synthetic,near_null_effect
SYN-000049,control,1,1,0,synthetic,near_null_effect
SYN-000050,control,1,1,0,synthetic,near_null_effect
SYN-000051,control,1,1,0,synthetic,near_null_effect
SYN-000052,control,1,1,0,synthetic,near_null_effect
SYN-000053,treatment,1,1,0,synthetic,near_null_effect
SYN-000054,control,1,1,0,synthetic,near_null_effect
SYN-000055,control,1,1,0,synthetic,near_null_effect
SYN-000056,control,1,1,1,synthetic,near_null_effect
SYN-000057,control,1,1,0,synthetic,near_null_effect
SYN-000058,control,1,1,0,synthetic,near_null_effect
SYN-000059,treatment,1,1,0,synthetic,near_null_effect
SYN-000060,control,1,1,0,synthetic,near_null_effect
SYN-000061,treatment,1,1,0,synthetic,near_null_effect
SYN-000062,control,1,1,0,synthetic,near_null_effect
SYN-000063,treatment,1,1,0,synthetic,near_null_effect
SYN-000064,control,1,1,0,synthetic,near_null_effect
SYN-000065,treatment,1,1,0,synthetic,near_null_effect
SYN-000066,treatment,1,1,0,synthetic,near_null_effect
SYN-000067,treatment,1,1,0,synthetic,near_null_effect
SYN-000068,treatment,1,1,1,synthetic,near_null_effect
SYN-000069,control,1,1,0,synthetic,near_null_effect
SYN-000070,control,1,1,0,synthetic,near_null_effect
SYN-000071,control,1,1,0,synthetic,near_null_effect
SYN-000072,treatment,1,1,0,synthetic,near_null_effect
SYN-000073,treatment,1,1,0,synthetic,near_null_effect
SYN-000074,treatment,1,1,0,synthetic,near_null_effect
SYN-000075,treatment,1,1,1,synthetic,near_null_effect
